"table_catalog","table_schema","table_name","table_type","self_referencing_column_name","reference_generation","user_defined_type_catalog","user_defined_type_schema","user_defined_type_name","is_insertable_into","is_typed","commit_action"
"orders-db","public","Sale Store","VIEW","","","","","","NO","NO",""
"orders-db","public","my_store_overview","VIEW","","","","","","NO","NO",""
"orders-db","public","my_stores_overviews","VIEW","","","","","","NO","NO",""
"orders-db","public","sales_summary","VIEW","","","","","","NO","NO",""
"orders-db","public","sales_views_1","VIEW","","","","","","NO","NO",""
"orders-db","public","store_type_sales_mihai","VIEW","","","","","","NO","NO",""
"orders-db","public","test_view","VIEW","","","","","","NO","NO",""
"orders-db","public","store_type_sales","VIEW","","","","","","NO","NO",""
"orders-db","public","question_4_mj","VIEW","","","","","","NO","NO",""
"orders-db","public","sales_views","VIEW","","","","","","NO","NO",""
"orders-db","public","summary","VIEW","","","","","","NO","NO",""
"orders-db","public","stores_performance","VIEW","","","","","","YES","NO",""
"orders-db","public","store_sales_view","VIEW","","","","","","NO","NO",""
"orders-db","public","salesinfo2","VIEW","","","","","","NO","NO",""
"orders-db","public","store_type_summary_one","VIEW","","","","","","NO","NO",""
